Localidade,CodigoIBGE,I2000,I2010
Primeiro de Maio,4120507,0.633,0.701
Prudentópolis,4120606,0.544,0.676
Quarto Centenário,4120655,0.561,0.71
Quatiguá,4120705,0.622,0.714
Quatro Barras,4120804,0.654,0.742
Quatro Pontes,4120853,0.718,0.791
Quedas do Iguaçu,4120903,0.593,0.681
Querência do Norte,4121000,0.557,0.688
Quinta do Sol,4121109,0.596,0.715
Quitandinha,4121208,0.563,0.68
Ramilândia,4121257,0.517,0.63
Rancho Alegre,4121307,0.605,0.707
Rancho Alegre d'Oeste,4121356,0.584,0.704
Realeza,4121406,0.639,0.722
Rebouças,4121505,0.559,0.672
Renascença,4121604,0.591,0.733
Reserva,4121703,0.485,0.618
Reserva do Iguaçu,4121752,0.554,0.648
Ribeirão Claro,4121802,0.602,0.716
Ribeirão do Pinhal,4121901,0.6,0.701
Rio Azul,4122008,0.538,0.687
Rio Bom,4122107,0.594,0.729
Rio Bonito do Iguaçu,4122156,0.466,0.629
Rio Branco do Ivaí,4122172,0.473,0.64
Rio Branco do Sul,4122206,0.554,0.679
Rio Negro,4122305,0.678,0.76
Rolândia,4122404,0.659,0.739
Roncador,4122503,0.547,0.681
Rondon,4122602,0.61,0.713
Rosário do Ivaí,4122651,0.521,0.662
Sabáudia,4122701,0.635,0.74
Salgado Filho,4122800,0.561,0.7
Salto do Itararé,4122909,0.573,0.704
Salto do Lontra,4123006,0.599,0.718
Santa Amélia,4123105,0.571,0.653
Santa Cecília do Pavão,4123204,0.585,0.723
Santa Cruz de Monte Castelo,4123303,0.608,0.71
Santa Fé,4123402,0.631,0.705
Santa Helena,4123501,0.678,0.744
Santa Inês,4123600,0.617,0.717
Santa Isabel do Ivaí,4123709,0.647,0.72
Santa Izabel do Oeste,4123808,0.587,0.696
Santa Lúcia,4123824,0.574,0.687
Santa Maria do Oeste,4123857,0.475,0.609
Santa Mariana,4123907,0.601,0.7
Santa Mônica,4123956,0.568,0.704
Santana do Itararé,4124004,0.57,0.687
Santa Tereza do Oeste,4124020,0.601,0.705
Santa Terezinha de Itaipu,4124053,0.638,0.738
Santo Antônio da Platina,4124103,0.599,0.718
Santo Antônio do Caiuá,4124202,0.585,0.696
Santo Antônio do Paraíso,4124301,0.585,0.716
Santo Antônio do Sudoeste,4124400,0.576,0.671
Santo Inácio,4124509,0.628,0.739
São Carlos do Ivaí,4124608,0.575,0.682
São Jerônimo da Serra,4124707,0.532,0.637
São João,4124806,0.642,0.727
São João do Caiuá,4124905,0.585,0.664
São João do Ivaí,4125001,0.584,0.693
São João do Triunfo,4125100,0.503,0.629
São Jorge d'Oeste,4125209,0.609,0.722
São Jorge do Ivaí,4125308,0.669,0.743
São Jorge do Patrocínio,4125357,0.577,0.676
São José da Boa Vista,4125407,0.539,0.671
São José das Palmeiras,4125456,0.582,0.713
São José dos Pinhais,4125506,0.646,0.758
São Manoel do Paraná,4125555,0.631,0.725
São Mateus do Sul,4125605,0.599,0.719
São Miguel do Iguaçu,4125704,0.621,0.704
São Pedro do Iguaçu,4125753,0.581,0.683
São Pedro do Ivaí,4125803,0.634,0.717
São Pedro do Paraná,4125902,0.597,0.704
São Sebastião da Amoreira,4126009,0.597,0.715
São Tomé,4126108,0.598,0.725
Sapopema,4126207,0.504,0.655
Sarandi,4126256,0.605,0.695
Saudade do Iguaçu,4126272,0.577,0.699
Sengés,4126306,0.559,0.663
Serranópolis do Iguaçu,4126355,0.683,0.762
Sertaneja,4126405,0.668,0.725
Sertanópolis,4126504,0.672,0.723
Siqueira Campos,4126603,0.605,0.704
Sulina,4126652,0.614,0.693
Tamarana,4126678,0.504,0.621
Tamboara,4126702,0.637,0.731
Tapejara,4126801,0.584,0.703
Tapira,4126900,0.607,0.697
Teixeira Soares,4127007,0.575,0.671
Telêmaco Borba,4127106,0.644,0.734
Terra Boa,4127205,0.624,0.728
Terra Rica,4127304,0.599,0.71
Terra Roxa,4127403,0.622,0.714
Tibagi,4127502,0.522,0.664
Tijucas do Sul,4127601,0.502,0.636
Toledo,4127700,0.694,0.768
Tomazina,4127809,0.577,0.699
Três Barras do Paraná,4127858,0.568,0.681
Tunas do Paraná,4127882,0.442,0.611
Tuneiras do Oeste,4127908,0.565,0.695
Tupãssi,4127957,0.667,0.73
Turvo,4127965,0.491,0.672
Ubiratã,4128005,0.62,0.739
Umuarama,4128104,0.68,0.761
União da Vitória,4128203,0.663,0.74
Uniflor,4128302,0.586,0.72
Uraí,4128401,0.638,0.721
Wenceslau Braz,4128500,0.586,0.687
Ventania,4128534,0.541,0.65
Vera Cruz do Oeste,4128559,0.593,0.699
Verê,4128609,0.642,0.72
Alto Paraíso,4128625,0.53,0.678
Doutor Ulysses,4128633,0.377,0.546
Virmond,4128658,0.572,0.722
Vitorino,4128708,0.592,0.702
Xambrê,4128807,0.606,0.706
Abdon Batista,4200051,0.576,0.694
Abelardo Luz,4200101,0.579,0.696
Agrolândia,4200200,0.593,0.725
Agronômica,4200309,0.602,0.741
Água Doce,4200408,0.627,0.698
Águas de Chapecó,4200507,0.582,0.713
Águas Frias,4200556,0.6,0.745
Águas Mornas,4200606,0.57,0.723
Alfredo Wagner,4200705,0.548,0.668
Alto Bela Vista,4200754,0.619,0.755
Anchieta,4200804,0.563,0.699
Angelina,4200903,0.552,0.687
Anita Garibaldi,4201000,0.544,0.688
Anitápolis,4201109,0.552,0.674
Antônio Carlos,4201208,0.661,0.749
Apiúna,4201257,0.578,0.708
Arabutã,4201273,0.623,0.733
Araquari,4201307,0.578,0.703
Araranguá,4201406,0.666,0.76
Armazém,4201505,0.666,0.77
Arroio Trinta,4201604,0.67,0.764
Arvoredo,4201653,0.569,0.715
Ascurra,4201703,0.603,0.742
Atalanta,4201802,0.599,0.733
Aurora,4201901,0.601,0.733
Balneário Arroio do Silva,4201950,0.654,0.746
Balneário Camboriú,4202008,0.777,0.845
Balneário Barra do Sul,4202057,0.639,0.716
Balneário Gaivota,4202073,0.625,0.728
Bandeirante,4202081,0.548,0.672
Barra Bonita,4202099,0.543,0.701
Barra Velha,4202107,0.627,0.738
Bela Vista do Toldo,4202131,0.491,0.675
Belmonte,4202156,0.559,0.705
Benedito Novo,4202206,0.617,0.74
Biguaçu,4202305,0.636,0.739
Blumenau,4202404,0.727,0.806
Bocaina do Sul,4202438,0.505,0.647
Bombinhas,4202453,0.661,0.781
Bom Jardim da Serra,4202503,0.553,0.696
Bom Jesus,4202537,0.549,0.718
Bom Jesus do Oeste,4202578,0.569,0.712
Bom Retiro,4202602,0.56,0.699
Botuverá,4202701,0.598,0.724
Braço do Norte,4202800,0.687,0.778
Braço do Trombudo,4202859,0.625,0.78
Brunópolis,4202875,0.481,0.661
Brusque,4202909,0.72,0.795
Caçador,4203006,0.601,0.735
Caibi,4203105,0.631,0.728
Calmon,4203154,0.427,0.622
Camboriú,4203204,0.592,0.726
Capão Alto,4203253,0.506,0.654
Campo Alegre,4203303,0.582,0.714
Campo Belo do Sul,4203402,0.488,0.641
Campo Erê,4203501,0.56,0.69
Campos Novos,4203600,0.617,0.742
Canelinha,4203709,0.618,0.697
Canoinhas,4203808,0.64,0.757
Capinzal,4203907,0.628,0.752
Capivari de Baixo,4203956,0.672,0.767
Catanduvas,4204004,0.622,0.714
Caxambu do Sul,4204103,0.623,0.691
Celso Ramos,4204152,0.562,0.719
Cerro Negro,4204178,0.475,0.621
Chapadão do Lageado,4204194,0.49,0.704
Chapecó,4204202,0.682,0.79
Cocal do Sul,4204251,0.695,0.78
Concórdia,4204301,0.71,0.8
Cordilheira Alta,4204350,0.651,0.747
Coronel Freitas,4204400,0.606,0.744
Coronel Martins,4204459,0.588,0.696
Corupá,4204509,0.652,0.78
Correia Pinto,4204558,0.587,0.702
Criciúma,4204608,0.703,0.788
Cunha Porã,4204707,0.635,0.742
Cunhataí,4204756,0.651,0.754
Curitibanos,4204806,0.621,0.721
Descanso,4204905,0.609,0.743
Dionísio Cerqueira,4205001,0.59,0.706
Dona Emma,4205100,0.639,0.742
Doutor Pedrinho,4205159,0.608,0.716
Entre Rios,4205175,0.487,0.657
Ermo,4205191,0.599,0.726
Erval Velho,4205209,0.634,0.723
Faxinal dos Guedes,4205308,0.656,0.758
Flor do Sertão,4205357,0.588,0.708
Florianópolis,4205407,0.766,0.847
Formosa do Sul,4205431,0.6,0.715
Forquilhinha,4205456,0.641,0.753
Fraiburgo,4205506,0.628,0.731
Frei Rogério,4205555,0.533,0.682
Galvão,4205605,0.626,0.708
Garopaba,4205704,0.635,0.753
Garuva,4205803,0.555,0.725
Gaspar,4205902,0.67,0.765
Governador Celso Ramos,4206009,0.635,0.747
Grão Pará,4206108,0.634,0.736
Gravatal,4206207,0.629,0.757
Guabiruba,4206306,0.677,0.754
Guaraciaba,4206405,0.622,0.751
Guaramirim,4206504,0.685,0.751
Guarujá do Sul,4206603,0.65,0.73
Guatambú,4206652,0.576,0.717
Herval d'Oeste,4206702,0.654,0.758
Ibiam,4206751,0.587,0.725
Ibicaré,4206801,0.618,0.708
Ibirama,4206900,0.655,0.737
Içara,4207007,0.616,0.741
Ilhota,4207106,0.637,0.738
Imaruí,4207205,0.557,0.667
Imbituba,4207304,0.658,0.765
Imbuia,4207403,0.551,0.713
Indaial,4207502,0.678,0.777
Iomerê,4207577,0.708,0.795
Ipira,4207601,0.64,0.736
Iporã do Oeste,4207650,0.603,0.759
Ipuaçu,4207684,0.514,0.66
Ipumirim,4207700,0.617,0.738
Iraceminha,4207759,0.606,0.722
Irani,4207809,0.605,0.742
Irati,4207858,0.547,0.707
Irineópolis,4207908,0.533,0.699
Itá,4208005,0.66,0.771
Itaiópolis,4208104,0.562,0.708
Itajaí,4208203,0.688,0.795
Itapema,4208302,0.705,0.796
Itapiranga,4208401,0.67,0.775
Itapoá,4208450,0.634,0.761
Ituporanga,4208500,0.633,0.748
Jaborá,4208609,0.609,0.732
Jacinto Machado,4208708,0.569,0.716
Jaguaruna,4208807,0.616,0.721
Jaraguá do Sul,4208906,0.74,0.803
Jardinópolis,4208955,0.591,0.709
Joaçaba,4209003,0.741,0.827
Joinville,4209102,0.711,0.809
José Boiteux,4209151,0.564,0.694
Jupiá,4209177,0.582,0.719
Lacerdópolis,4209201,0.7,0.781
Lages,4209300,0.674,0.77
Laguna,4209409,0.646,0.752
Lajeado Grande,4209458,0.667,0.771
Laurentino,4209508,0.659,0.749
Lauro Muller,4209607,0.64,0.735
Lebon Régis,4209706,0.497,0.649
Leoberto Leal,4209805,0.536,0.686
Lindóia do Sul,4209854,0.659,0.743
Lontras,4209904,0.614,0.704
Luiz Alves,4210001,0.635,0.737
Luzerna,4210035,0.697,0.789
Macieira,4210050,0.541,0.662
Mafra,4210100,0.652,0.777
Major Gercino,4210209,0.591,0.698
Major Vieira,4210308,0.582,0.69
Maracajá,4210407,0.627,0.768
Maravilha,4210506,0.685,0.781
Marema,4210555,0.634,0.743
Massaranduba,4210605,0.703,0.774
Matos Costa,4210704,0.512,0.657
Meleiro,4210803,0.641,0.738
Mirim Doce,4210852,0.612,0.708
Modelo,4210902,0.63,0.76
Mondaí,4211009,0.607,0.748
Monte Carlo,4211058,0.53,0.643
Monte Castelo,4211108,0.571,0.675
Morro da Fumaça,4211207,0.617,0.738
Morro Grande,4211256,0.572,0.701
Navegantes,4211306,0.606,0.736
Nova Erechim,4211405,0.659,0.765
Nova Itaberaba,4211454,0.589,0.736
Nova Trento,4211504,0.646,0.748
Nova Veneza,4211603,0.659,0.768
Novo Horizonte,4211652,0.56,0.706
Orleans,4211702,0.639,0.755
Otacílio Costa,4211751,0.635,0.74
Ouro,4211801,0.655,0.774
Ouro Verde,4211850,0.636,0.695
Paial,4211876,0.548,0.718
Painel,4211892,0.528,0.664
Palhoça,4211900,0.656,0.757
Palma Sola,4212007,0.571,0.704
Palmeira,4212056,0.544,0.671
Palmitos,4212106,0.619,0.737
Papanduva,4212205,0.564,0.704
Paraíso,4212239,0.547,0.7
Passo de Torres,4212254,0.602,0.72
Passos Maia,4212270,0.543,0.659
Paulo Lopes,4212304,0.598,0.716
Pedras Grandes,4212403,0.609,0.728
Penha,4212502,0.631,0.743
Peritiba,4212601,0.655,0.766
Petrolândia,4212700,0.586,0.716
Balneário Piçarras,4212809,0.642,0.756
Pinhalzinho,4212908,0.663,0.783
Pinheiro Preto,4213005,0.644,0.777
Piratuba,4213104,0.6,0.758
Planalto Alegre,4213153,0.664,0.751
Pomerode,4213203,0.708,0.78
Ponte Alta,4213302,0.52,0.673
Ponte Alta do Norte,4213351,0.576,0.689
Ponte Serrada,4213401,0.566,0.693
Porto Belo,4213500,0.653,0.76
Porto União,4213609,0.666,0.786
Pouso Redondo,4213708,0.589,0.72
Praia Grande,4213807,0.598,0.718
Presidente Castello Branco,4213906,0.628,0.77
Presidente Getúlio,4214003,0.672,0.759
Presidente Nereu,4214102,0.55,0.737
Princesa,4214151,0.535,0.706
Quilombo,4214201,0.614,0.73
Rancho Queimado,4214300,0.604,0.753
Rio das Antas,4214409,0.587,0.697
Rio do Campo,4214508,0.581,0.729
Rio do Oeste,4214607,0.637,0.754
Rio dos Cedros,4214706,0.626,0.729
Rio do Sul,4214805,0.698,0.802
Rio Fortuna,4214904,0.652,0.806
Rio Negrinho,4215000,0.616,0.738
Rio Rufino,4215059,0.544,0.653
Riqueza,4215075,0.606,0.714
Rodeio,4215109,0.675,0.754
Romelândia,4215208,0.534,0.692
Salete,4215307,0.643,0.744
Saltinho,4215356,0.535,0.654
Salto Veloso,4215406,0.666,0.784
Sangão,4215455,0.567,0.7
Santa Cecília,4215505,0.552,0.698
Santa Helena,4215554,0.608,0.727
Santa Rosa de Lima,4215604,0.587,0.757
Santa Rosa do Sul,4215653,0.6,0.705
Santa Terezinha,4215679,0.534,0.669
Santa Terezinha do Progresso,4215687,0.551,0.682
Santiago do Sul,4215695,0.584,0.728
Santo Amaro da Imperatriz,4215703,0.678,0.781
São Bernardino,4215752,0.522,0.677
São Bento do Sul,4215802,0.679,0.782
São Bonifácio,4215901,0.588,0.731
São Carlos,4216008,0.671,0.769
São Cristovão do Sul,4216057,0.518,0.665
São Domingos,4216107,0.661,0.765
São Francisco do Sul,4216206,0.658,0.762
São João do Oeste,4216255,0.643,0.761
São João Batista,4216305,0.663,0.74
São João do Itaperiú,4216354,0.607,0.738
São João do Sul,4216404,0.574,0.695
São Joaquim,4216503,0.589,0.687
São José,4216602,0.718,0.809
São José do Cedro,4216701,0.627,0.731
São José do Cerrito,4216800,0.502,0.636
São Lourenço do Oeste,4216909,0.655,0.749
São Ludgero,4217006,0.664,0.755
São Martinho,4217105,0.635,0.742
São Miguel da Boa Vista,4217154,0.548,0.71
São Miguel do Oeste,4217204,0.705,0.801
São Pedro de Alcântara,4217253,0.636,0.734
Saudades,4217303,0.635,0.755
Schroeder,4217402,0.712,0.769
Seara,4217501,0.663,0.779
Serra Alta,4217550,0.612,0.773
Siderópolis,4217600,0.669,0.774
Sombrio,4217709,0.626,0.728
Sul Brasil,4217758,0.55,0.707
Taió,4217808,0.64,0.761
Tangará,4217907,0.59,0.737
Tigrinhos,4217956,0.538,0.717
Tijucas,4218004,0.669,0.76
Timbé do Sul,4218103,0.57,0.72
Timbó,4218202,0.69,0.784
Timbó Grande,4218251,0.453,0.659
Três Barras,4218301,0.598,0.706
Treviso,4218350,0.612,0.774
Treze de Maio,4218400,0.607,0.729
Treze Tílias,4218509,0.668,0.795
Trombudo Central,4218608,0.657,0.775
Tubarão,4218707,0.721,0.796
Tunápolis,4218756,0.637,0.752
Turvo,4218806,0.662,0.74
União do Oeste,4218855,0.608,0.705
Urubici,4218905,0.592,0.694
Urupema,4218954,0.578,0.699
Urussanga,4219002,0.698,0.772
Vargeão,4219101,0.64,0.686
Vargem,4219150,0.531,0.629
Vargem Bonita,4219176,0.596,0.718
Vidal Ramos,4219200,0.57,0.7
Videira,4219309,0.683,0.764
Vitor Meireles,4219358,0.539,0.673
Witmarsum,4219408,0.614,0.71
Xanxerê,4219507,0.674,0.775
Xavantina,4219606,0.653,0.749
Xaxim,4219705,0.652,0.752
Zortéa,4219853,0.586,0.761
Aceguá,4300034,0.621,0.687
Água Santa,4300059,0.63,0.75
Agudo,4300109,0.593,0.694
Ajuricaba,4300208,0.646,0.753
Alecrim,4300307,0.548,0.672
Alegrete,4300406,0.641,0.74
Alegria,4300455,0.578,0.695
Almirante Tamandaré do Sul,4300471,0.601,0.74
Alpestre,4300505,0.524,0.671
Alto Alegre,4300554,0.662,0.747
Alto Feliz,4300570,0.64,0.734
Alvorada,4300604,0.582,0.699
Amaral Ferrador,4300638,0.507,0.624
Ametista do Sul,4300646,0.539,0.682
André da Rocha,4300661,0.591,0.72
Anta Gorda,4300703,0.642,0.74
Antônio Prado,4300802,0.683,0.758
Arambaré,4300851,0.56,0.691
Araricá,4300877,0.565,0.679
Aratiba,4300901,0.615,0.772
Arroio do Meio,4301008,0.69,0.769
Arroio do Sal,4301057,0.664,0.74
Arroio do Padre,4301073,0.56,0.669
Arroio dos Ratos,4301107,0.61,0.698
Arroio do Tigre,4301206,0.568,0.707
Arroio Grande,4301305,0.588,0.657
Arvorezinha,4301404,0.593,0.694
Augusto Pestana,4301503,0.635,0.743
Áurea,4301552,0.582,0.707
Bagé,4301602,0.659,0.74
Balneário Pinhal,4301636,0.618,0.696
Barão,4301651,0.622,0.748
Barão de Cotegipe,4301701,0.633,0.719
Barão do Triunfo,4301750,0.482,0.61
Barracão,4301800,0.566,0.71
Barra do Guarita,4301859,0.559,0.734
Barra do Quaraí,4301875,0.549,0.662
Barra do Ribeiro,4301909,0.619,0.67
Barra do Rio Azul,4301925,0.561,0.723
Barra Funda,4301958,0.666,0.763
Barros Cassal,4302006,0.511,0.65
Benjamin Constant do Sul,4302055,0.45,0.619
Bento Gonçalves,4302105,0.712,0.778
Boa Vista das Missões,4302154,0.605,0.676
Boa Vista do Buricá,4302204,0.669,0.762
Boa Vista do Cadeado,4302220,0.585,0.703
Boa Vista do Incra,4302238,0.643,0.731
Boa Vista do Sul,4302253,0.655,0.728
Bom Jesus,4302303,0.541,0.666
Bom Princípio,4302352,0.67,0.746
Bom Progresso,4302378,0.566,0.723
Bom Retiro do Sul,4302402,0.639,0.739
Boqueirão do Leão,4302451,0.563,0.7
Bossoroca,4302501,0.586,0.692
Bozano,4302584,0.615,0.745
Braga,4302600,0.553,0.674
Brochier,4302659,0.566,0.699
Butiá,4302709,0.579,0.689
Caçapava do Sul,4302808,0.599,0.704
Cacequi,4302907,0.58,0.7
Cachoeira do Sul,4303004,0.661,0.742
Cachoeirinha,4303103,0.672,0.757
Cacique Doble,4303202,0.576,0.662
Caibaté,4303301,0.614,0.719
Caiçara,4303400,0.612,0.699
Camaquã,4303509,0.609,0.697
Camargo,4303558,0.661,0.736
Cambará do Sul,4303608,0.564,0.697
Campestre da Serra,4303673,0.622,0.706
Campina das Missões,4303707,0.607,0.738
Campinas do Sul,4303806,0.665,0.76
Campo Bom,4303905,0.669,0.745
Campo Novo,4304002,0.568,0.703
Campos Borges,4304101,0.56,0.708
Candelária,4304200,0.561,0.674
Cândido Godói,4304309,0.647,0.728
Candiota,4304358,0.622,0.698
Canela,4304408,0.638,0.748
Canguçu,4304507,0.516,0.65
Canoas,4304606,0.665,0.75
Canudos do Vale,4304614,0.556,0.713
Capão Bonito do Sul,4304622,0.531,0.637
Capão da Canoa,4304630,0.639,0.743
Capão do Cipó,4304655,0.561,0.672
Capão do Leão,4304663,0.542,0.637
Capivari do Sul,4304671,0.658,0.766
Capela de Santana,4304689,0.534,0.661
Capitão,4304697,0.614,0.746
Carazinho,4304705,0.678,0.766
Caraá,4304713,0.508,0.652
Carlos Barbosa,4304804,0.724,0.796
Carlos Gomes,4304853,0.596,0.739
Casca,4304903,0.688,0.785
Caseiros,4304952,0.59,0.703
Catuípe,4305009,0.635,0.739
Caxias do Sul,4305108,0.705,0.782
Centenário,4305116,0.545,0.701
Cerrito,4305124,0.574,0.649
Cerro Branco,4305132,0.544,0.661
Cerro Grande,4305157,0.557,0.674
Cerro Grande do Sul,4305173,0.513,0.66
Cerro Largo,4305207,0.664,0.764
Chapada,4305306,0.642,0.757
Charqueadas,4305355,0.649,0.747
Charrua,4305371,0.501,0.62
Chiapetta,4305405,0.606,0.732
Chuí,4305439,0.654,0.706
Chuvisca,4305447,0.481,0.616
Cidreira,4305454,0.64,0.729
Ciríaco,4305504,0.595,0.719
Colinas,4305587,0.625,0.765
Colorado,4305603,0.665,0.758
Condor,4305702,0.609,0.747
Constantina,4305801,0.63,0.754
Coqueiro Baixo,4305835,0.582,0.692
Coqueiros do Sul,4305850,0.601,0.746
Coronel Barros,4305871,0.612,0.744
Coronel Bicaco,4305900,0.579,0.665
Coronel Pilar,4305934,0.602,0.727
Cotiporã,4305959,0.645,0.741
Coxilha,4305975,0.594,0.706
Crissiumal,4306007,0.589,0.712
Cristal,4306056,0.537,0.644
Cristal do Sul,4306072,0.516,0.66
Cruz Alta,4306106,0.679,0.75
Cruzaltense,4306130,0.582,0.719
Cruzeiro do Sul,4306205,0.637,0.723
David Canabarro,4306304,0.629,0.762
Derrubadas,4306320,0.573,0.707
Dezesseis de Novembro,4306353,0.529,0.654
Dilermando de Aguiar,4306379,0.558,0.648
Dois Irmãos,4306403,0.676,0.743
Dois Irmãos das Missões,4306429,0.559,0.67
Dois Lajeados,4306452,0.694,0.757
Dom Feliciano,4306502,0.47,0.587
Dom Pedro de Alcântara,4306551,0.572,0.691
Dom Pedrito,4306601,0.621,0.708
Dona Francisca,4306700,0.605,0.697
Doutor Maurício Cardoso,4306734,0.65,0.706
Doutor Ricardo,4306759,0.575,0.724
Eldorado do Sul,4306767,0.62,0.717
Encantado,4306809,0.7,0.767
Encruzilhada do Sul,4306908,0.551,0.657
Engenho Velho,4306924,0.533,0.717
Entre-Ijuís,4306932,0.589,0.68
Entre Rios do Sul,4306957,0.595,0.703
Erebango,4306973,0.606,0.712
Erechim,4307005,0.696,0.776
Ernestina,4307054,0.642,0.716
Herval,4307104,0.548,0.687
Erval Grande,4307203,0.56,0.681
Erval Seco,4307302,0.538,0.685
Esmeralda,4307401,0.538,0.68
Esperança do Sul,4307450,0.498,0.661
Espumoso,4307500,0.653,0.765
Estação,4307559,0.662,0.753
Estância Velha,4307609,0.674,0.757
Esteio,4307708,0.693,0.754
Estrela,4307807,0.676,0.767
Estrela Velha,4307815,0.535,0.679
Eugênio de Castro,4307831,0.621,0.712
Fagundes Varela,4307864,0.633,0.763
Farroupilha,4307906,0.691,0.777
Faxinal do Soturno,4308003,0.643,0.72
Faxinalzinho,4308052,0.574,0.666
Fazenda Vilanova,4308078,0.548,0.698
Feliz,4308102,0.659,0.75
Flores da Cunha,4308201,0.674,0.754
Floriano Peixoto,4308250,0.532,0.663
Fontoura Xavier,4308300,0.504,0.661
Formigueiro,4308409,0.579,0.682
Forquetinha,4308433,0.553,0.683
Fortaleza dos Valos,4308458,0.658,0.756
Frederico Westphalen,4308508,0.683,0.76
Garibaldi,4308607,0.712,0.786
Garruchos,4308656,0.549,0.671
Gaurama,4308706,0.662,0.738
General Câmara,4308805,0.619,0.686
Gentil,4308854,0.628,0.733
Getúlio Vargas,4308904,0.665,0.746
Giruá,4309001,0.626,0.721
Glorinha,4309050,0.587,0.714
Gramado,4309100,0.698,0.764
Gramado dos Loureiros,4309126,0.573,0.685
Gramado Xavier,4309159,0.46,0.634
Gravataí,4309209,0.661,0.736
Guabiju,4309258,0.674,0.758
Guaíba,4309308,0.654,0.73
Guaporé,4309407,0.67,0.765
Guarani das Missões,4309506,0.592,0.737
Harmonia,4309555,0.663,0.749
Herveiras,4309571,0.441,0.616
Horizontina,4309605,0.725,0.783
Hulha Negra,4309654,0.569,0.643
Humaitá,4309704,0.64,0.738
Ibarama,4309753,0.528,0.652
Ibiaçá,4309803,0.677,0.739
Ibiraiaras,4309902,0.645,0.724
Ibirapuitã,4309951,0.527,0.638
Ibirubá,4310009,0.674,0.765
Igrejinha,4310108,0.603,0.721
Ijuí,4310207,0.683,0.781
Ilópolis,4310306,0.613,0.73
Imbé,4310330,0.677,0.764
Imigrante,4310363,0.69,0.743
Independência,4310405,0.601,0.693
Inhacorá,4310413,0.554,0.673
Ipê,4310439,0.615,0.728
Ipiranga do Sul,4310462,0.673,0.791
Iraí,4310504,0.595,0.691
Itaara,4310538,0.607,0.76
Itacurubi,4310553,0.539,0.657
Itapuca,4310579,0.495,0.664
Itaqui,4310603,0.63,0.713
Itati,4310652,0.554,0.669
Itatiba do Sul,4310702,0.533,0.681
Ivorá,4310751,0.637,0.724
Ivoti,4310801,0.697,0.784
Jaboticaba,4310850,0.51,0.658
Jacuizinho,4310876,0.466,0.662
Jacutinga,4310900,0.62,0.726
Jaguarão,4311007,0.62,0.707
Jaguari,4311106,0.601,0.712
Jaquirana,4311122,0.47,0.614
Jari,4311130,0.516,0.631
Jóia,4311155,0.587,0.686
Júlio de Castilhos,4311205,0.626,0.716
Lagoa Bonita do Sul,4311239,0.533,0.67
Lagoão,4311254,0.476,0.643
Lagoa dos Três Cantos,4311270,0.664,0.789
Lagoa Vermelha,4311304,0.65,0.738
Lajeado,4311403,0.715,0.778
Lajeado do Bugre,4311429,0.504,0.613
Lavras do Sul,4311502,0.629,0.699
Liberato Salzano,4311601,0.521,0.685
Lindolfo Collor,4311627,0.54,0.712
Linha Nova,4311643,0.611,0.749
Machadinho,4311700,0.571,0.692
Maçambara,4311718,0.562,0.684
Mampituba,4311734,0.518,0.649
Manoel Viana,4311759,0.543,0.655
Maquiné,4311775,0.579,0.682
Maratá,4311791,0.591,0.697
Marau,4311809,0.678,0.774
Marcelino Ramos,4311908,0.631,0.724
Mariana Pimentel,4311981,0.604,0.701
Mariano Moro,4312005,0.656,0.73
Marques de Souza,4312054,0.627,0.687
Mata,4312104,0.551,0.656
Mato Castelhano,4312138,0.665,0.727
Mato Leitão,4312153,0.623,0.746
Mato Queimado,4312179,0.617,0.717
Maximiliano de Almeida,4312203,0.562,0.699
Minas do Leão,4312252,0.547,0.681
Miraguaí,4312302,0.584,0.725
Montauri,4312351,0.608,0.764
Monte Alegre dos Campos,4312377,0.462,0.65
Monte Belo do Sul,4312385,0.629,0.752
Montenegro,4312401,0.668,0.755
Mormaço,4312427,0.584,0.714
Morrinhos do Sul,4312443,0.593,0.711
Morro Redondo,4312450,0.572,0.702
Morro Reuter,4312476,0.656,0.743
Mostardas,4312500,0.571,0.664
Muçum,4312609,0.641,0.746
Muitos Capões,4312617,0.534,0.702
Muliterno,4312625,0.598,0.689
Não-Me-Toque,4312658,0.692,0.765
Nicolau Vergueiro,4312674,0.676,0.753
Nonoai,4312708,0.584,0.702
Nova Alvorada,4312757,0.566,0.74
Nova Araçá,4312807,0.732,0.785
Nova Bassano,4312906,0.674,0.747
Nova Boa Vista,4312955,0.64,0.768
Nova Bréscia,4313003,0.695,0.778
Nova Candelária,4313011,0.603,0.759
Nova Esperança do Sul,4313037,0.593,0.735
Nova Hartz,4313060,0.578,0.689
Nova Pádua,4313086,0.688,0.761
Nova Palma,4313102,0.659,0.744
Nova Petrópolis,4313201,0.697,0.78
Nova Prata,4313300,0.689,0.766
Nova Ramada,4313334,0.576,0.742
Nova Roma do Sul,4313359,0.677,0.741
Nova Santa Rita,4313375,0.609,0.718
Novo Cabrais,4313391,0.538,0.688
Novo Hamburgo,4313409,0.671,0.747
Novo Machado,4313425,0.56,0.663
Novo Tiradentes,4313441,0.538,0.676
Novo Xingu,4313466,0.585,0.767
Novo Barreiro,4313490,0.552,0.706
Osório,4313508,0.671,0.751
Paim Filho,4313607,0.606,0.706
Palmares do Sul,4313656,0.609,0.715
Palmeira das Missões,4313706,0.635,0.737
Palmitinho,4313805,0.615,0.72
